iter	RMSE
0	0.1356247097
1	0.1293951067
2	0.1234690911
3	0.1178454881
4	0.11236492
5	0.1072438126
6	0.102390901
7	0.0977737619
8	0.0934174603
9	0.08921909629
10	0.08526058659
11	0.08150589696
12	0.07793643992
13	0.0746226441
14	0.07146926713
15	0.06833526937
16	0.06539094726
17	0.06259809186
18	0.05990176689
19	0.0573503318
20	0.05496430775
21	0.0526691041
22	0.05046334809
23	0.04839194508
24	0.04641147826
25	0.04455977118
26	0.04282624794
27	0.04116508635
28	0.03962352699
29	0.03814258419
30	0.03672673275
31	0.03540045053
32	0.03412928903
33	0.0329433695
34	0.03184257106
35	0.03079534505
36	0.02981123839
37	0.02888260644
38	0.02798621816
39	0.02713267062
40	0.02632685774
41	0.02557103084
42	0.02486528801
43	0.02417394441
44	0.02351795434
45	0.02295020608
46	0.02237332159
47	0.02182769359
48	0.02132527989
49	0.02085476708
50	0.020426573
51	0.02001327435
52	0.01963801626
53	0.01925324921
54	0.01890725933
55	0.01859887889
56	0.01831012025
57	0.01802459201
58	0.0177832178
59	0.0175517026
60	0.01732662384
61	0.01708722136
62	0.01687742632
63	0.01668022294
64	0.01650049937
65	0.01632267263
66	0.01615974541
67	0.01600605404
68	0.01585564786
69	0.01572204547
70	0.01557424618
71	0.01545733114
72	0.01532803936
73	0.01523406587
74	0.01513775682
75	0.01502849168
76	0.01493893524
77	0.01485680486
78	0.01476560155
79	0.01468999065
80	0.01460582231
81	0.01453568183
82	0.01446970488
83	0.01440574303
84	0.01434710966
85	0.01429049977
86	0.01423492325
87	0.01416479083
88	0.0141088554
89	0.0140581455
90	0.01401309001
91	0.01397617295
92	0.01393869584
93	0.01385974422
94	0.01381767665
95	0.01377599083
96	0.01373366533
97	0.01370257726
98	0.01366146172
99	0.01362919674
100	0.01359147676
101	0.01356872809
102	0.01354181739
103	0.01350484904
104	0.01347152592
105	0.0134367347
106	0.01341426005
107	0.01338275042
108	0.01335435091
109	0.01333400633
110	0.01330718734
111	0.01325297793
112	0.01323324624
113	0.01320865896
114	0.01316357757
115	0.01315100776
116	0.01313306918
117	0.01311425762
118	0.01309315102
119	0.01308087722
120	0.01306273256
121	0.01304220012
122	0.0130159836
123	0.01296942803
124	0.01295690837
125	0.0129385176
126	0.01292997762
127	0.01290794833
128	0.01288978173
129	0.01287485052
130	0.01283237661
131	0.01282221735
132	0.01277579483
133	0.01275728008
134	0.01274604903
135	0.01273690342
136	0.01272314601
137	0.01270172809
138	0.01267232774
139	0.01265881985
140	0.01264403321
141	0.01261840095
142	0.01260244582
143	0.01259616653
144	0.01258292264
145	0.01256905734
146	0.01254149292
147	0.01252654011
148	0.0125150466
149	0.0124999022
150	0.01249394231
151	0.01248031664
152	0.01247071984
153	0.01245474967
154	0.01243807444
155	0.01241875229
156	0.01240788115
157	0.01239235853
158	0.01238246826
159	0.01237119649
160	0.01236128884
161	0.01235173173
162	0.01233945758
163	0.01232472113
164	0.01231622353
165	0.01229943832
166	0.01228583043
167	0.01227883151
168	0.01226331639
169	0.01225304547
170	0.01224146667
171	0.01223486213
172	0.01222804043
173	0.01220850364
174	0.01219802731
175	0.01218251999
176	0.01216954529
177	0.01216380091
178	0.01214781065
179	0.01213402665
180	0.01212682044
181	0.01210806756
182	0.0121016361
183	0.01209007858
184	0.01207928426
185	0.01206581952
186	0.01206060831
187	0.012052688
188	0.01204076545
189	0.01202707407
190	0.01201884747
191	0.01200663019
192	0.01200015901
193	0.0119760055
194	0.01196489161
195	0.01195891336
196	0.01193788232
197	0.01192847852
198	0.0119231001
199	0.01191595552
200	0.01190243667
201	0.01189533413
202	0.01187288064
203	0.01186458692
204	0.01184593373
205	0.01182422823
206	0.01181590171
207	0.01180728238
208	0.01180277202
209	0.01179082216
210	0.01178242865
211	0.01177220309
212	0.01175453778
213	0.0117407523
214	0.01173395526
215	0.01173016074
216	0.01172502039
217	0.01172023551
218	0.0117126844
219	0.01169761313
220	0.01168869949
221	0.01167400754
222	0.01167024151
223	0.01166079009
224	0.01165496855
225	0.0116488883
226	0.01164191129
227	0.01162857379
228	0.0116248595
229	0.01160071374
230	0.01159378207
231	0.01157269212
232	0.01156855313
233	0.0115622947
234	0.01155184149
235	0.01154773249
236	0.01153421517
237	0.01152814302
238	0.01151964304
239	0.01151156302
240	0.0115048909
241	0.01148889688
242	0.01147318693
243	0.01146006436
244	0.01145191451
245	0.01144452299
246	0.01143534691
247	0.01143038606
248	0.01142183617
249	0.01141685717
250	0.01140980028
251	0.01139957737
252	0.01139296706
253	0.01138376764
254	0.01137855528
255	0.0113689417
256	0.01136017894
257	0.01134419277
258	0.01133833407
259	0.01132845232
260	0.01132190081
261	0.01130344086
262	0.01129080721
263	0.01128522313
264	0.01128190879
265	0.01127306216
266	0.0112600155
267	0.01125180482
268	0.01124786413
269	0.01124398312
270	0.01123660109
271	0.01123153931
272	0.01122571263
273	0.01120870759
274	0.01119975591
275	0.01119097704
276	0.01117514317
277	0.01117168212
278	0.01116454943
279	0.01115922695
280	0.0111522249
281	0.011143008
282	0.01113930426
283	0.0111312685
284	0.01112406245
285	0.01111776343
286	0.01111442626
287	0.01110100997
288	0.01108633631
289	0.01107163937
290	0.01105640991
291	0.01104922581
292	0.01104583307
293	0.01104038823
294	0.01103577612
295	0.01102815773
296	0.01102039166
297	0.01100669818
298	0.0110015175
299	0.01099239963
300	0.01098700924
301	0.01097307272
302	0.01096351856
303	0.01095343443
304	0.01094909903
305	0.010944514
306	0.0109391774
307	0.01093224465
308	0.01092345727
309	0.01091872071
310	0.01091514012
311	0.01091138084
312	0.01090502012
313	0.01089119853
314	0.01088531063
315	0.01087983264
316	0.0108749996
317	0.01087021968
318	0.01086718188
319	0.01086289372
320	0.01085717805
321	0.01084626458
322	0.01084001341
323	0.0108356549
324	0.01083194333
325	0.01082344784
326	0.0108121474
327	0.01080041652
328	0.01079608596
329	0.01077588397
330	0.01076486587
331	0.01075684548
332	0.01075015699
333	0.01074603332
334	0.01073060007
335	0.01072553448
336	0.0107215025
337	0.01071431043
338	0.01070818687
339	0.01070152979
340	0.01069266776
341	0.01068623013
342	0.01067988325
343	0.01066116561
344	0.01065285307
345	0.01064504671
346	0.0106405122
347	0.01063439373
348	0.01063212532
349	0.01062060279
350	0.01061458178
351	0.01060593527
352	0.01059675409
353	0.01058938428
354	0.01058437564
355	0.01057722346
356	0.01057290385
357	0.01056636583
358	0.01056056567
359	0.01055729505
360	0.01055286916
361	0.01054792554
362	0.01054133359
363	0.01053647864
364	0.01053096692
365	0.01052564
366	0.01051903398
367	0.01051572814
368	0.0105113652
369	0.01050588075
370	0.01050161975
371	0.01049071068
372	0.01048212053
373	0.01047373861
374	0.01046374203
375	0.01044522532
376	0.01043795558
377	0.01043010253
378	0.01041763699
379	0.01041141465
380	0.01039550564
