iter	RMSE
0	0.1456145999
1	0.1440355909
2	0.1424506561
3	0.1409251719
4	0.1394329105
5	0.1379072334
6	0.1363913657
7	0.1348954793
8	0.1334069694
9	0.1319544418
10	0.1305659069
11	0.1291204869
12	0.1277109412
13	0.1263098366
14	0.1248963815
15	0.1235548578
16	0.1222021254
17	0.1208430547
18	0.1195442751
19	0.1183234014
20	0.1170699288
21	0.1158219685
22	0.1145774139
23	0.1133940719
24	0.11212038
25	0.1109198133
26	0.1097076592
27	0.1085170772
28	0.1073735525
29	0.1062121187
30	0.1050751796
31	0.1039702407
32	0.1028286002
33	0.1017417538
34	0.1006648784
35	0.09957730002
36	0.09849007987
37	0.09745555809
38	0.09640968592
39	0.09541720642
40	0.09435817545
41	0.09331887495
42	0.09232557181
43	0.09131076036
44	0.09033581969
45	0.08940837972
46	0.08844963631
47	0.08751218488
48	0.0865529349
49	0.08562531291
50	0.08469355139
51	0.08379054011
52	0.08289935203
53	0.08200060596
54	0.08110321119
55	0.0802318617
56	0.07939696934
57	0.07855700157
58	0.07772457204
59	0.07687296842
60	0.07608853317
61	0.075260637
62	0.07447549967
63	0.07370427042
64	0.07291458705
65	0.07213370118
66	0.0713704401
67	0.07063594793
68	0.06988481834
69	0.06919538814
70	0.06843802166
71	0.0677052717
72	0.06699097926
73	0.06626024383
74	0.06555430952
75	0.06484850226
76	0.06416598242
77	0.06350422373
78	0.06282507202
79	0.06213943706
80	0.06150195119
81	0.06083715942
82	0.06019975001
83	0.05960161049
84	0.0589666793
85	0.05834484394
86	0.0577476488
87	0.05711801153
88	0.05650183773
89	0.05588900799
90	0.05532529551
91	0.05474841614
92	0.05417117217
93	0.05359536576
94	0.05302708427
95	0.05251700516
96	0.05200917731
97	0.05144983745
98	0.05091264123
99	0.0503936386
100	0.04986953751
101	0.04936616471
102	0.04886888267
103	0.04836522798
104	0.04787817951
105	0.04739933173
106	0.04690184747
107	0.04644023236
108	0.04598508624
109	0.04550802357
110	0.04505086876
111	0.04457483122
112	0.04410432595
113	0.04364547159
114	0.04322337473
115	0.04278223977
116	0.04234978226
117	0.04191975362
118	0.04148523583
119	0.04106157666
120	0.04063458932
121	0.0402134552
122	0.0397981269
123	0.03940018076
124	0.03900479383
125	0.03861228496
126	0.03823170473
127	0.03784198815
128	0.03745009878
129	0.03708882652
130	0.03671489037
131	0.03633927629
132	0.03597572689
133	0.03562012859
134	0.03526183927
135	0.03489429909
136	0.03453931747
137	0.03418513931
138	0.03385321124
139	0.03352020298
140	0.03318569308
141	0.03285747346
142	0.03250816324
143	0.03218771027
144	0.03187896236
145	0.03154562145
146	0.03122311505
147	0.03091255362
148	0.03061294212
149	0.03031203648
150	0.03000507594
151	0.02971790588
152	0.02943631615
153	0.02914920923
154	0.02885163776
155	0.02857863963
156	0.02832687649
157	0.02806273285
158	0.02778098931
159	0.02751031879
160	0.02725603898
161	0.02698812949
162	0.02672817678
163	0.02648953365
164	0.02623375757
165	0.02597680164
166	0.02573969454
167	0.02549742664
168	0.02525289406
169	0.02500516883
170	0.02477008492
171	0.024544815
172	0.0243110202
173	0.02407612231
174	0.02385880339
175	0.02364861087
176	0.02342937964
177	0.02322858962
178	0.02301505071
179	0.02280825714
180	0.02260167508
181	0.02241041701
182	0.0222183477
183	0.02200975398
184	0.0218034075
185	0.02162322884
186	0.02143525813
187	0.02124097938
188	0.02105265618
189	0.02086692221
190	0.02068695166
191	0.02049670813
192	0.02032751399
193	0.02015718351
194	0.01999546193
195	0.0198286004
196	0.01966525129
197	0.0194984797
198	0.01933552422
199	0.01917120751
200	0.01901375364
201	0.01885346183
202	0.01869151944
203	0.01853805474
204	0.01838855019
205	0.01822670842
206	0.0180779219
207	0.01792339029
208	0.01776925188
209	0.01762132348
210	0.017467428
211	0.01731943366
212	0.01717181955
213	0.01703855816
214	0.01689926288
215	0.01676181872
216	0.01663943688
217	0.01651335041
218	0.01638636535
219	0.01626485815
220	0.01614208946
221	0.01601326085
222	0.01589231335
223	0.01577074064
224	0.01565380191
225	0.01552952715
226	0.01542079021
227	0.01530237458
228	0.01518825265
229	0.01506570088
230	0.01495220285
231	0.01484611794
232	0.01474153646
233	0.01463330182
234	0.01452620246
235	0.01441801109
236	0.01431580268
237	0.01421507215
238	0.01412089051
239	0.01402496076
240	0.01392312548
241	0.01382395875
242	0.01373095244
243	0.01363909654
244	0.01354506669
245	0.01344857717
246	0.01335901476
247	0.01326845464
248	0.01317847638
249	0.01309422741
250	0.0130080334
251	0.01292833314
252	0.01283949646
253	0.01275190103
254	0.01267194258
255	0.01259514021
256	0.01251641699
257	0.01244506317
258	0.01237251594
259	0.01229442663
260	0.01221431406
261	0.01214548869
262	0.01208152001
263	0.01200781718
264	0.01194211156
265	0.01187833948
266	0.01181823517
