iter	Passed	Remaining
405	7810	33801
406	7830	33784
407	7850	33769
408	7870	33753
409	7890	33737
410	7913	33733
411	7938	33739
412	7958	33721
413	7977	33703
414	7997	33684
415	8016	33666
416	8037	33651
417	8058	33642
418	8078	33626
419	8099	33612
420	8116	33586
421	8135	33565
422	8152	33536
423	8168	33502
424	8194	33511
425	8217	33505
426	8238	33494
427	8257	33475
428	8278	33461
429	8302	33461
430	8322	33443
431	8340	33418
432	8361	33409
433	8384	33401
434	8405	33390
435	8425	33373
436	8443	33349
437	8461	33324
438	8481	33306
439	8499	33284
440	8520	33270
441	8539	33251
442	8561	33240
443	8579	33214
444	8596	33190
445	8612	33155
446	8627	33118
447	8643	33089
448	8661	33063
449	8678	33035
450	8699	33022
451	8743	33095
452	8764	33085
453	8787	33077
454	8805	33055
455	8821	33022
456	8837	32990
457	8858	32977
458	8879	32965
459	8895	32934
460	8910	32895
461	8924	32857
462	8940	32827
463	8957	32800
464	8973	32767
465	8991	32742
466	9016	32743
467	9036	32728
468	9053	32702
469	9070	32673
470	9088	32647
471	9105	32621
472	9120	32587
473	9136	32555
474	9155	32536
475	9171	32505
476	9190	32484
477	9211	32472
478	9233	32461
479	9249	32432
480	9267	32405
481	9287	32389
482	9305	32366
483	9323	32343
484	9344	32329
485	9365	32315
486	9387	32306
487	9408	32292
488	9427	32272
489	9447	32256
490	9466	32237
491	9490	32232
492	9513	32227
493	9532	32204
494	9549	32178
495	9564	32145
496	9580	32113
497	9598	32092
498	9618	32074
499	9634	32045
500	9652	32022
501	9673	32008
502	9690	31981
503	9706	31949
504	9723	31924
505	9740	31897
506	9754	31860
507	9769	31827
508	9786	31800
509	9806	31785
510	9823	31758
511	9840	31731
512	9857	31706
513	9874	31678
514	9889	31645
515	9905	31615
516	9922	31589
517	9937	31556
518	9954	31533
519	9975	31517
520	9995	31502
521	10013	31478
522	10032	31459
523	10051	31439
524	10069	31417
525	10086	31391
526	10105	31371
527	10131	31372
528	10149	31351
529	10167	31327
530	10186	31306
531	10201	31276
532	10217	31247
533	10236	31227
534	10254	31205
535	10276	31194
536	10299	31187
537	10317	31164
538	10335	31139
539	10350	31107
540	10366	31080
541	10384	31058
542	10401	31031
543	10421	31016
544	10443	31003
545	10465	30994
546	10483	30970
547	10500	30946
548	10516	30916
549	10534	30895
550	10550	30867
551	10568	30842
552	10589	30831
553	10611	30819
554	10630	30800
555	10651	30786
556	10676	30783
557	10703	30785
558	10727	30782
559	10754	30783
560	10780	30785
561	10800	30767
562	10822	30756
563	10843	30742
564	10863	30726
565	10881	30702
566	10901	30685
567	10921	30668
568	10937	30639
569	10952	30610
570	10970	30586
571	10990	30568
572	11017	30571
573	11054	30601
574	11075	30587
575	11092	30562
576	11110	30539
577	11130	30522
578	11146	30493
579	11162	30466
580	11183	30450
581	11204	30436
582	11221	30411
583	11237	30382
584	11253	30355
585	11274	30341
586	11293	30320
587	11315	30309
588	11341	30306
589	11367	30306
590	11390	30297
591	11411	30283
592	11431	30265
593	11449	30241
594	11469	30224
595	11492	30215
596	11510	30192
597	11526	30166
598	11544	30142
599	11562	30119
600	11577	30090
601	11594	30065
602	11613	30045
603	11631	30022
604	11650	30003
605	11672	29989
606	11693	29974
607	11709	29948
608	11725	29919
609	11743	29898
610	11764	29883
611	11785	29869
612	11816	29878
613	11836	29862
614	11857	29846
615	11880	29835
616	11901	29821
617	11920	29802
618	11940	29783
619	11962	29769
620	11981	29752
621	12003	29737
622	12007	29681
623	12024	29657
624	12040	29630
625	12058	29605
626	12077	29586
627	12093	29560
628	12110	29534
629	12129	29516
630	12152	29505
631	12172	29486
632	12189	29463
633	12207	29441
634	12226	29420
635	12244	29399
636	12262	29376
637	12284	29364
638	12307	29353
639	12325	29331
640	12344	29310
641	12362	29289
642	12381	29268
643	12397	29242
644	12414	29217
645	12435	29203
646	12455	29185
647	12471	29158
648	12485	29126
649	12504	29106
650	12523	29086
651	12538	29057
652	12553	29027
653	12571	29006
654	12590	28987
655	12613	28977
656	12635	28962
657	12654	28944
658	12673	28923
659	12690	28899
660	12708	28877
661	12729	28861
662	12751	28848
663	12778	28846
664	12811	28860
665	12830	28838
666	12852	28827
667	12873	28812
668	12894	28794
669	12913	28775
670	12935	28762
671	12955	28745
672	12972	28719
673	12986	28690
674	13004	28667
675	13023	28647
676	13044	28632
677	13081	28652
678	13106	28644
679	13130	28635
680	13146	28609
681	13164	28586
682	13182	28565
683	13198	28538
684	13218	28521
685	13245	28518
686	13265	28501
687	13283	28478
688	13309	28473
689	13320	28436
690	13340	28419
691	13360	28401
692	13381	28385
693	13405	28376
694	13428	28363
695	13451	28352
696	13476	28344
697	13500	28335
698	13520	28318
699	13548	28315
700	13569	28301
701	13592	28288
702	13613	28273
703	13636	28260
704	13657	28244
705	13675	28221
706	13694	28201
707	13710	28175
708	13724	28146
709	13740	28120
710	13759	28098
711	13775	28073
712	13791	28047
713	13810	28026
714	13830	28009
715	13848	27987
716	13867	27968
717	13885	27945
718	13899	27915
719	13914	27886
720	13931	27862
721	13947	27837
722	13962	27810
723	13978	27782
724	13997	27762
725	14016	27743
726	14034	27721
727	14052	27699
728	14071	27679
729	14087	27653
730	14102	27626
731	14121	27607
732	14139	27584
733	14155	27559
734	14173	27536
735	14182	27498
736	14205	27485
737	14226	27469
738	14247	27454
739	14268	27437
740	14290	27423
741	14310	27406
742	14331	27390
743	14355	27378
744	14381	27373
745	14407	27366
746	14428	27350
747	14446	27328
748	14464	27306
749	14482	27285
750	14500	27263
751	14516	27238
752	14531	27209
753	14545	27180
754	14562	27156
755	14580	27136
756	14598	27115
757	14614	27088
758	14628	27059
759	14645	27036
760	14661	27011
761	14676	26984
762	14691	26956
763	14707	26931
764	14722	26904
765	14737	26877
766	14761	26867
767	14785	26855
768	14803	26834
769	14820	26812
770	14839	26791
771	14858	26771
772	14875	26749
773	14892	26725
774	14907	26699
775	14925	26677
776	14947	26663
777	14967	26644
778	14984	26622
779	15004	26603
780	15021	26580
781	15037	26555
782	15055	26533
783	15071	26510
784	15085	26482
785	15101	26457
786	15120	26437
787	15137	26414
788	15152	26386
789	15167	26360
790	15184	26338
791	15200	26312
792	15214	26285
793	15232	26264
794	15251	26244
795	15273	26229
796	15291	26209
797	15311	26191
798	15330	26172
799	15349	26150
800	15366	26128
801	15384	26106
802	15403	26087
803	15422	26069
804	15443	26053
805	15466	26040
806	15489	26026
807	15509	26009
808	15528	25990
809	15546	25968
810	15564	25947
811	15582	25925
812	15599	25903
813	15617	25882
814	15640	25868
815	15661	25852
816	15676	25827
817	15691	25801
818	15706	25774
819	15722	25750
820	15739	25727
821	15753	25700
822	15769	25675
823	15785	25651
824	15801	25627
825	15818	25604
826	15836	25583
827	15854	25561
828	15869	25537
829	15884	25511
830	15902	25489
831	15920	25469
832	15937	25445
833	15954	25423
834	15974	25405
835	16000	25397
836	16025	25387
837	16043	25366
838	16063	25348
839	16083	25331
840	16099	25307
841	16118	25287
842	16138	25270
843	16160	25256
844	16182	25240
845	16208	25233
846	16229	25216
847	16250	25199
848	16269	25180
849	16288	25160
850	16308	25142
851	16330	25128
852	16353	25115
853	16384	25113
854	16405	25097
855	16429	25085
856	16453	25074
857	16475	25059
858	16497	25043
859	16515	25023
860	16534	25004
861	16550	24979
862	16567	24957
863	16586	24937
864	16605	24918
865	16626	24901
866	16645	24882
867	16663	24860
868	16679	24837
869	16694	24812
870	16711	24788
871	16727	24764
872	16741	24738
873	16757	24713
874	16777	24697
875	16794	24674
876	16807	24646
877	16825	24625
878	16842	24602
879	16856	24576
880	16871	24551
881	16887	24527
882	16905	24505
883	16920	24480
884	16939	24461
885	16957	24441
886	16975	24419
887	16988	24392
888	17005	24369
889	17021	24346
890	17037	24323
891	17052	24297
892	17070	24276
893	17088	24256
894	17109	24240
895	17128	24220
896	17172	24236
897	17200	24230
898	17219	24210
899	17237	24189
900	17255	24169
901	17273	24148
902	17296	24134
903	17318	24120
904	17341	24105
905	17361	24087
906	17380	24067
907	17397	24046
908	17418	24029
909	17436	24008
910	17454	23987
911	17473	23968
912	17492	23949
913	17510	23928
914	17527	23905
915	17540	23879
916	17555	23853
917	17571	23830
918	17587	23807
919	17601	23781
920	17615	23755
921	17632	23732
922	17649	23711
923	17668	23692
924	17691	23677
925	17710	23658
926	17726	23634
927	17744	23614
928	17758	23588
929	17776	23568
930	17793	23546
931	17808	23521
932	17823	23497
933	17841	23477
934	17860	23457
935	17877	23435
936	17892	23411
937	17908	23388
938	17924	23365
939	17937	23338
940	17950	23311
941	17966	23287
942	17982	23264
943	17996	23238
944	18013	23217
945	18031	23197
946	18049	23176
947	18064	23151
948	18078	23127
949	18097	23107
950	18116	23088
951	18132	23065
952	18148	23042
953	18165	23020
954	18182	23000
955	18201	22980
956	18224	22966
957	18245	22949
958	18263	22928
959	18281	22909
960	18303	22893
961	18325	22878
962	18346	22862
963	18367	22844
964	18397	22840
965	18422	22827
966	18446	22814
967	18469	22800
968	18492	22786
969	18515	22771
970	18539	22758
971	18558	22740
972	18575	22718
973	18593	22698
974	18616	22683
975	18637	22666
976	18655	22646
977	18674	22627
978	18693	22607
979	18711	22587
980	18727	22564
981	18745	22544
982	18763	22523
983	18779	22500
984	18798	22481
985	18816	22461
986	18834	22440
987	18851	22419
988	18868	22397
989	18884	22375
990	18900	22352
991	18915	22328
992	18930	22304
993	18946	22282
994	18962	22259
995	18976	22234
996	18992	22211
997	19010	22192
998	19029	22172
999	19044	22148
1000	19061	22127
1001	19080	22108
1002	19097	22086
1003	19112	22063
1004	19126	22038
1005	19143	22016
1006	19159	21993
1007	19186	21984
1008	19209	21969
1009	19232	21956
1010	19252	21937
1011	19270	21917
1012	19292	21902
1013	19313	21884
1014	19333	21866
1015	19353	21848
1016	19374	21831
1017	19395	21815
1018	19420	21803
1019	19451	21797
1020	19473	21781
1021	19490	21760
1022	19508	21739
1023	19528	21721
1024	19544	21698
1025	19558	21674
1026	19576	21654
1027	19594	21634
1028	19612	21613
1029	19632	21595
1030	19654	21579
1031	19668	21555
1032	19684	21532
1033	19699	21509
1034	19716	21488
1035	19733	21466
1036	19747	21442
1037	19761	21418
1038	19777	21395
1039	19793	21373
1040	19808	21349
1041	19825	21328
1042	19844	21309
1043	19860	21287
1044	19874	21262
1045	19888	21238
1046	19904	21216
1047	19920	21194
1048	19935	21171
1049	19950	21147
1050	19964	21122
1051	19981	21102
1052	19997	21079
1053	20014	21059
1054	20032	21039
1055	20049	21017
1056	20067	20997
1057	20083	20975
1058	20098	20952
1059	20114	20930
1060	20131	20909
1061	20145	20885
1062	20162	20864
1063	20187	20851
1064	20205	20831
1065	20224	20812
1066	20242	20792
1067	20261	20773
1068	20281	20756
1069	20303	20739
1070	20326	20724
1071	20350	20711
1072	20372	20695
1073	20392	20677
1074	20414	20661
1075	20438	20647
1076	20459	20630
1077	20483	20616
1078	20503	20598
1079	20526	20583
1080	20547	20566
1081	20566	20547
1082	20588	20531
1083	20607	20512
1084	20627	20493
1085	20645	20474
1086	20662	20453
1087	20677	20430
1088	20697	20412
1089	20717	20394
1090	20736	20374
1091	20755	20356
1092	20778	20340
1093	20799	20324
1094	20813	20300
1095	20827	20276
1096	20841	20252
1097	20859	20232
1098	20875	20210
1099	20891	20189
1100	20911	20170
1101	20929	20151
1102	20945	20129
1103	20961	20106
1104	20975	20083
1105	20993	20062
1106	21012	20044
1107	21027	20021
1108	21044	20001
1109	21064	19982
1110	21086	19966
1111	21104	19946
1112	21146	19949
1113	21177	19942
1114	21194	19920
1115	21212	19901
1116	21230	19880
1117	21250	19863
1118	21270	19845
1119	21290	19826
1120	21307	19805
1121	21322	19783
1122	21338	19761
1123	21355	19740
1124	21372	19719
1125	21389	19698
1126	21404	19676
1127	21423	19657
1128	21443	19638
1129	21461	19619
1130	21479	19599
1131	21496	19578
1132	21514	19558
1133	21532	19538
1134	21548	19517
1135	21564	19495
1136	21584	19477
1137	21601	19456
1138	21623	19439
1139	21646	19424
1140	21666	19406
1141	21683	19385
1142	21704	19368
1143	21724	19350
1144	21740	19329
1145	21757	19308
1146	21775	19288
